Offense,family_violence,occurred_date,location_type,Zip,Latitude,Longitude
THEFT,N,2021-05-16,RESIDENCE / HOME,78730,30.39151787,-97.83947264
FAMILY DISTURBANCE,N,2020-08-22,RESIDENCE / HOME,78727,30.43718079,-97.74280609
FAMILY DISTURBANCE,N,2021-04-20,RESIDENCE / HOME,78756,30.32396109,-97.72875128
BURGLARY OF VEHICLE,N,2019-05-03,PARKING /DROP LOT/ GARAGE,78752,30.32535265,-97.70757653
BURGLARY OF VEHICLE,N,2019-03-29,RESIDENCE / HOME,78758,30.40323682,-97.72384904
BURGLARY OF VEHICLE,N,2019-11-06,RESIDENCE / HOME,78753,30.39413365,-97.64737629
BURGLARY OF VEHICLE,N,2020-06-13,PARKING /DROP LOT/ GARAGE,78753,30.36971197,-97.6781167
CRIMINAL MISCHIEF,N,2021-05-21,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,78745,30.22963701,-97.79819995
THEFT,N,2021-11-26,RESIDENCE / HOME,78756,30.3296382,-97.73080156
BURGLARY OF VEHICLE,N,2019-10-02,PARKING /DROP LOT/ GARAGE,78704,30.25424137,-97.77124971
BURGLARY OF VEHICLE,N,2019-06-28,PARKING /DROP LOT/ GARAGE,78758,30.35850633,-97.6999662
BURGLARY OF VEHICLE,N,2020-07-21,RESIDENCE / HOME,78704,30.23706273,-97.75097104
THEFT,N,2020-07-03,CONVENIENCE STORE,78617,30.21870895,-97.66836477
FAMILY DISTURBANCE,N,2021-12-30,RESIDENCE / HOME,78757,30.36279122,-97.72620882
BURGLARY OF VEHICLE,N,2020-06-20,RESIDENCE / HOME,78731,30.37093589,-97.7816427
FAMILY DISTURBANCE,N,2019-07-18,HOTEL / MOTEL / ETC.,78744,30.21164831,-97.75280945
BURGLARY OF VEHICLE,N,2021-04-19,OTHER / UNKNOWN,78731,30.32104847,-97.77354003
FAMILY DISTURBANCE,N,2021-12-01,RESIDENCE / HOME,78704,30.24487207,-97.76443422
BURGLARY OF VEHICLE,N,2019-03-17,PARKING /DROP LOT/ GARAGE,78722,30.28919101,-97.71753555
BURGLARY OF VEHICLE,N,2019-03-01,PARKING /DROP LOT/ GARAGE,78758,30.37664814,-97.73043691
THEFT,N,2020-06-12,RESIDENCE / HOME,78723,30.30945822,-97.70073408
CRIMINAL MISCHIEF,N,2019-06-22,RESIDENCE / HOME,78741,30.23205261,-97.72860737
THEFT,N,2021-09-09,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26755343,-97.73467415
THEFT,N,2020-01-07,RESIDENCE / HOME,78722,30.28411605,-97.71562269
THEFT,N,2020-10-28,OTHER / UNKNOWN,78750,30.46287518,-97.80184796
CRIMINAL MISCHIEF,N,2019-05-24,RESIDENCE / HOME,78747,30.14039814,-97.76466957
CRIMINAL MISCHIEF,N,2021-11-25,PARKING /DROP LOT/ GARAGE,78741,30.22478271,-97.69497855
FAMILY DISTURBANCE,N,2019-05-19,RESIDENCE / HOME,78758,30.38819323,-97.70020235
THEFT,N,2021-06-07,SERVICE/ GAS STATION,78748,30.18301254,-97.84961507
BURGLARY OF VEHICLE,N,2021-11-10,PARKING /DROP LOT/ GARAGE,78741,30.23178857,-97.71888757
THEFT,N,2021-04-16,COMMERCIAL / OFFICE BUILDING,78735,30.23929313,-97.83881709
BURGLARY OF VEHICLE,N,2021-05-15,PARKING /DROP LOT/ GARAGE,78753,30.34801409,-97.70333819
BURGLARY OF VEHICLE,N,2019-03-02,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78704,30.26451017,-97.76159559
BURGLARY OF VEHICLE,N,2019-05-21,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78748,30.18161253,-97.8151172
FAMILY DISTURBANCE,N,2021-09-14,RESIDENCE / HOME,78741,30.22581978,-97.72912068
BURGLARY OF VEHICLE,N,2020-11-21,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26748054,-97.74806621
FAMILY DISTURBANCE,N,2019-07-28,RESIDENCE / HOME,78724,30.29979678,-97.64694626
CRIMINAL MISCHIEF,N,2021-01-07,RESIDENCE / HOME,78745,30.2007591,-97.76934028
BURGLARY OF VEHICLE,N,2019-09-16,RESIDENCE / HOME,78613,30.46703249,-97.81031129
BURGLARY OF VEHICLE,N,2019-02-11,PARKING /DROP LOT/ GARAGE,78750,30.46276831,-97.79532003
CRIMINAL MISCHIEF,N,2020-03-17,RESIDENCE / HOME,78757,30.36389364,-97.73228133
CRIMINAL MISCHIEF,N,2019-11-13,RESIDENCE / HOME,78753,30.39438783,-97.67065387
FAMILY DISTURBANCE,N,2019-07-24,RESIDENCE / HOME,78702,30.26219946,-97.71526642
CRIMINAL MISCHIEF,N,2021-10-29,PARKING /DROP LOT/ GARAGE,78729,30.4392336,-97.77149909
BURGLARY OF VEHICLE,N,2021-01-14,OTHER / UNKNOWN,78753,30.38126309,-97.67543528
THEFT,N,2019-05-14,RESIDENCE / HOME,78741,30.22840368,-97.71838693
CRIMINAL MISCHIEF,N,2019-09-26,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78758,30.36926216,-97.69510501
BURGLARY OF VEHICLE,N,2019-07-25,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78723,30.30833835,-97.66202545
THEFT,N,2019-07-22,OTHER / UNKNOWN,78752,30.3449127,-97.70929557
BURGLARY OF VEHICLE,N,2021-04-29,RESIDENCE / HOME,78617,30.17251678,-97.61449002
FAMILY DISTURBANCE,N,2021-05-02,RESIDENCE / HOME,78758,30.41164029,-97.69699154
FAMILY DISTURBANCE,N,2019-09-22,PARKING /DROP LOT/ GARAGE,78758,30.3730141,-97.7114904
FAMILY DISTURBANCE,N,2020-03-11,RESIDENCE / HOME,78758,30.37272813,-97.72945156
FAMILY DISTURBANCE,N,2019-07-30,RESIDENCE / HOME,78749,30.20419274,-97.84807946
BURGLARY OF VEHICLE,N,2021-08-05,PARKING /DROP LOT/ GARAGE,78724,30.29192769,-97.66259692
BURGLARY OF VEHICLE,N,2020-05-05,RESIDENCE / HOME,78759,30.41108858,-97.75922737
FAMILY DISTURBANCE,N,2020-02-09,RESIDENCE / HOME,78731,30.35701562,-97.75177774
BURGLARY OF VEHICLE,N,2019-05-18,PARKING /DROP LOT/ GARAGE,78741,30.24518463,-97.73032488
THEFT,N,2019-10-28,GROCERY / SUPERMARKET,78704,30.23829078,-97.75459038
BURGLARY OF VEHICLE,N,2019-01-29,OTHER / UNKNOWN,78729,30.45864756,-97.79236176
THEFT,N,2021-12-15,GROCERY / SUPERMARKET,78726,30.45465329,-97.82589259
FAMILY DISTURBANCE,N,2020-05-17,RESIDENCE / HOME,78717,30.49536277,-97.76064017
CRIMINAL MISCHIEF,N,2020-09-16,RESIDENCE / HOME,78759,30.40246808,-97.74196516
CRIMINAL MISCHIEF,N,2021-04-13,COMMERCIAL / OFFICE BUILDING,78759,30.39903304,-97.74510657
FAMILY DISTURBANCE,N,2021-05-26,RESIDENCE / HOME,78758,30.36636484,-97.70294878
BURGLARY OF VEHICLE,N,2020-07-17,OTHER / UNKNOWN,78748,30.1573787,-97.79972811
THEFT,N,2019-06-29,OTHER / UNKNOWN,78745,30.2268757,-97.78461889
FAMILY DISTURBANCE,N,2020-09-07,RESIDENCE / HOME,78752,30.32701283,-97.69025853
CRIMINAL MISCHIEF,N,2021-10-05,RESIDENCE / HOME,78759,30.42085903,-97.75504079
THEFT,N,2019-10-19,RESIDENCE / HOME,78749,30.20912615,-97.88704309
CRIMINAL MISCHIEF,N,2020-10-13,PARKING /DROP LOT/ GARAGE,78758,30.38657953,-97.72244396
CRIMINAL MISCHIEF,N,2021-03-08,OTHER / UNKNOWN,78617,30.17116606,-97.6102072
CRIMINAL MISCHIEF,N,2021-01-19,GROCERY / SUPERMARKET,78705,30.28346306,-97.74127474
CRIMINAL MISCHIEF,N,2020-10-17,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26678154,-97.73824996
THEFT,N,2021-10-30,RESIDENCE / HOME,78702,30.26385185,-97.73252422
BURGLARY OF VEHICLE,N,2020-06-26,RESIDENCE / HOME,78753,30.41482764,-97.66781711
BURGLARY OF VEHICLE,N,2019-05-28,PARKING /DROP LOT/ GARAGE,78759,30.37841553,-97.73662566
FAMILY DISTURBANCE,N,2019-09-07,RESIDENCE / HOME,78745,30.20146429,-97.79965482
FAMILY DISTURBANCE,N,2021-10-16,RESIDENCE / HOME,78752,30.3257346,-97.68909195
BURGLARY OF VEHICLE,N,2020-05-29,OTHER / UNKNOWN,78723,30.31950763,-97.70594123
BURGLARY OF VEHICLE,N,2020-08-24,PARKING /DROP LOT/ GARAGE,78753,30.40526665,-97.67189551
BURGLARY OF VEHICLE,N,2020-07-09,RESIDENCE / HOME,78757,30.35269767,-97.71825207
CRIMINAL MISCHIEF,N,2021-06-17,COMMERCIAL / OFFICE BUILDING,78759,30.3999032,-97.7394387
BURGLARY OF VEHICLE,N,2019-04-09,RESIDENCE / HOME,78750,30.45110676,-97.79767791
BURGLARY OF VEHICLE,N,2019-07-09,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26779551,-97.74554831
FAMILY DISTURBANCE,N,2019-01-16,RESIDENCE / HOME,78758,30.39064782,-97.69758456
FAMILY DISTURBANCE,N,2019-06-14,RESIDENCE / HOME,78744,30.17624854,-97.77897745
BURGLARY OF VEHICLE,N,2020-05-23,PARKING /DROP LOT/ GARAGE,78751,30.31340012,-97.73419079
FAMILY DISTURBANCE,N,2020-02-23,BAR / NIGHTCLUB,78701,30.26735673,-97.74003421
CRIMINAL MISCHIEF,N,2020-09-27,RESIDENCE / HOME,78748,30.17368492,-97.8063974
BURGLARY OF VEHICLE,N,2019-07-22,PARKING /DROP LOT/ GARAGE,78741,30.22253274,-97.7423905
BURGLARY OF VEHICLE,N,2021-01-13,PARKING /DROP LOT/ GARAGE,78741,30.24263577,-97.7227911
THEFT,N,2021-06-03,RESIDENCE / HOME,78757,30.3621591,-97.71934031
BURGLARY OF VEHICLE,N,2019-11-07,RESIDENCE / HOME,78749,30.22851053,-97.83394261
THEFT,N,2020-12-22,RESIDENCE / HOME,78735,30.25328672,-97.87510892
THEFT,N,2021-08-17,RESIDENCE / HOME,78717,30.50078253,-97.78153745
CRIMINAL MISCHIEF,N,2021-07-23,AIR / BUS / TRAIN TERMINAL,78753,30.41679962,-97.66847661
BURGLARY OF VEHICLE,N,2019-04-28,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78752,30.32909924,-97.70143466
FAMILY DISTURBANCE,N,2021-11-03,RESIDENCE / HOME,78724,30.29406131,-97.64716612
THEFT,N,2019-03-16,BAR / NIGHTCLUB,78701,30.27020584,-97.74968842
FAMILY DISTURBANCE,N,2021-07-01,RESIDENCE / HOME,78741,30.22581978,-97.72912068
THEFT,N,2020-08-03,RESIDENCE / HOME,78704,30.23396557,-97.77673189
FAMILY DISTURBANCE,N,2021-05-28,RESIDENCE / HOME,78726,30.42818778,-97.83863174
THEFT,N,2020-03-17,OTHER / UNKNOWN,78721,30.24895628,-97.68914165
FAMILY DISTURBANCE,N,2021-11-13,RESIDENCE / HOME,78745,30.20084891,-97.77892544
FAMILY DISTURBANCE,N,2019-12-07,RESIDENCE / HOME,78753,30.35444794,-97.68546322
FAMILY DISTURBANCE,N,2020-11-10,RESIDENCE / HOME,78723,30.31646571,-97.66479626
CRIMINAL MISCHIEF,N,2020-10-15,RESIDENCE / HOME,78753,30.34887091,-97.6852326
FAMILY DISTURBANCE,N,2020-05-28,RESIDENCE / HOME,78721,30.25755218,-97.69252434
FAMILY DISTURBANCE,N,2019-06-27,RESIDENCE / HOME,78759,30.431702,-97.76882374
BURGLARY OF VEHICLE,N,2019-01-28,PARKING /DROP LOT/ GARAGE,78727,30.42948175,-97.74372078
FAMILY DISTURBANCE,N,2021-05-31,RESIDENCE / HOME,78748,30.14762815,-97.80552795
FAMILY DISTURBANCE,N,2020-05-02,RESIDENCE / HOME,78723,30.30592575,-97.67947866
THEFT,N,2020-10-11,PARKING /DROP LOT/ GARAGE,78759,30.39160411,-97.7324475
BURGLARY OF VEHICLE,N,2020-03-17,RESIDENCE / HOME,78745,30.20546204,-97.76617883
BURGLARY OF VEHICLE,N,2021-11-17,PARKING /DROP LOT/ GARAGE,78705,30.28729878,-97.74244891
BURGLARY OF VEHICLE,N,2020-09-26,PARKING /DROP LOT/ GARAGE,78705,30.29215779,-97.72532141
CRIMINAL MISCHIEF,N,2021-04-04,PARKING /DROP LOT/ GARAGE,78723,30.29986863,-97.70708128
BURGLARY OF VEHICLE,N,2019-12-20,RESIDENCE / HOME,78731,30.35833675,-97.75305537
CRIMINAL MISCHIEF,N,2021-07-12,PARKING /DROP LOT/ GARAGE,78751,30.30046387,-97.71965158
BURGLARY OF VEHICLE,N,2021-08-10,PARKING /DROP LOT/ GARAGE,78701,30.26595339,-97.73959347
FAMILY DISTURBANCE,N,2020-10-13,RESIDENCE / HOME,78723,30.31156124,-97.68839302
THEFT,N,2019-04-23,GROCERY / SUPERMARKET,78741,30.23581695,-97.72262067
FAMILY DISTURBANCE,N,2019-11-24,RESIDENCE / HOME,78758,30.36948655,-97.69959977
THEFT,N,2020-03-07,BAR / NIGHTCLUB,78701,30.27020584,-97.74968842
FAMILY DISTURBANCE,N,2021-08-10,SERVICE/ GAS STATION,78752,30.32504448,-97.69470984
CRIMINAL MISCHIEF,N,2021-08-23,PARKING /DROP LOT/ GARAGE,78749,30.23426728,-97.82622364
FAMILY DISTURBANCE,N,2020-01-21,RESIDENCE / HOME,78758,30.35623818,-97.70711948
BURGLARY OF VEHICLE,N,2020-02-25,PARKING /DROP LOT/ GARAGE,78735,30.2437569,-97.86237684
BURGLARY OF VEHICLE,N,2019-02-09,COMMERCIAL / OFFICE BUILDING,78752,30.33795987,-97.7033935
CRIMINAL MISCHIEF,N,2020-09-10,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78747,30.14115878,-97.79409986
FAMILY DISTURBANCE,N,2019-10-20,RESIDENCE / HOME,78741,30.22947354,-97.69732089
CRIMINAL MISCHIEF,N,2019-07-24,RESIDENCE / HOME,78757,30.3389834,-97.73470962
FAMILY DISTURBANCE,N,2019-04-26,RESIDENCE / HOME,78744,30.18334713,-97.76235651
THEFT,N,2020-03-01,DEPARTMENT / DISCOUNT STORE,78723,30.31639292,-97.70614651
THEFT,N,2021-07-29,PARKING /DROP LOT/ GARAGE,78757,30.36016107,-97.72968934
BURGLARY OF VEHICLE,N,2020-07-05,PARKING /DROP LOT/ GARAGE,78704,30.23628691,-97.7933249
FAMILY DISTURBANCE,N,2021-01-05,RESIDENCE / HOME,78758,30.39759159,-97.7051808
BURGLARY OF VEHICLE,N,2019-04-13,BANK / SAVINGS & LOAN,78748,30.16743795,-97.79051007
THEFT,N,2019-06-26,RESIDENCE / HOME,78745,30.19385341,-97.81201203
BURGLARY OF VEHICLE,N,2019-03-08,PARKING /DROP LOT/ GARAGE,78613,30.47516088,-97.80967292
BURGLARY OF VEHICLE,N,2019-10-08,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78756,30.31314912,-97.74557469
CRIMINAL MISCHIEF,N,2021-08-04,RESIDENCE / HOME,78753,30.37561825,-97.67644733
CRIMINAL MISCHIEF,N,2019-04-13,PARKING /DROP LOT/ GARAGE,78704,30.23233409,-97.79329266
THEFT,N,2019-07-08,SERVICE/ GAS STATION,78741,30.21638013,-97.73830882
FAMILY DISTURBANCE,N,2020-10-02,RESIDENCE / HOME,78758,30.37249791,-97.71853987
BURGLARY OF VEHICLE,N,2020-01-03,PARKING /DROP LOT/ GARAGE,78704,30.26286872,-97.75860722
BURGLARY OF VEHICLE,N,2020-09-25,PARKING /DROP LOT/ GARAGE,78759,30.41296498,-97.74476741
FAMILY DISTURBANCE,N,2020-08-30,RESIDENCE / HOME,78702,30.26536728,-97.72035776
THEFT,N,2021-01-07,DEPARTMENT / DISCOUNT STORE,78723,30.31339118,-97.70783861
THEFT,N,2019-06-06,GROCERY / SUPERMARKET,78702,30.27288397,-97.69859762
CRIMINAL MISCHIEF,N,2019-10-14,PARKING /DROP LOT/ GARAGE,78745,30.1870381,-97.78036378
THEFT,N,2020-06-11,RESIDENCE / HOME,78750,30.45406004,-97.79389226
CRIMINAL MISCHIEF,N,2019-06-19,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78741,30.21647994,-97.74568802
THEFT,N,2019-02-25,CONSTRUCTION SITE,78702,30.27570895,-97.70974123
BURGLARY OF VEHICLE,N,2020-09-23,PARKING /DROP LOT/ GARAGE,78759,30.38207586,-97.74068594
BURGLARY OF VEHICLE,N,2020-03-05,GROCERY / SUPERMARKET,78723,30.31639292,-97.70614651
FAMILY DISTURBANCE,N,2019-02-04,RESIDENCE / HOME,78744,30.19571438,-97.74348014
CRIMINAL MISCHIEF,N,2021-12-27,PARKING /DROP LOT/ GARAGE,78746,30.260533,-97.78844476
FAMILY DISTURBANCE,N,2020-02-15,PARKING /DROP LOT/ GARAGE,78758,30.36606102,-97.70208166
CRIMINAL MISCHIEF,N,2020-02-16,RESIDENCE / HOME,78704,30.24149603,-97.78667843
CRIMINAL MISCHIEF,N,2020-07-11,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78744,30.1670311,-97.78498804
THEFT,Y,2019-02-22,RESIDENCE / HOME,78741,30.23857151,-97.72242267
BURGLARY OF VEHICLE,N,2020-10-13,COMMERCIAL / OFFICE BUILDING,78753,30.37531545,-97.67510753
THEFT,N,2020-05-02,BANK / SAVINGS & LOAN,78722,30.29649241,-97.71844064
CRIMINAL MISCHIEF,N,2021-03-11,HOTEL / MOTEL / ETC.,78729,30.45798345,-97.79062999
THEFT,N,2021-07-19,DEPARTMENT / DISCOUNT STORE,78753,30.33915243,-97.69116575
BURGLARY OF VEHICLE,N,2020-02-19,RESIDENCE / HOME,78759,30.40925577,-97.74318206
THEFT,N,2019-02-11,RESIDENCE / HOME,78757,30.34287789,-97.73538794
FAMILY DISTURBANCE,N,2021-07-05,RESIDENCE / HOME,78723,30.30381603,-97.68572084
THEFT,N,2020-04-05,BAR / NIGHTCLUB,78748,30.16056764,-97.79244422
FAMILY DISTURBANCE,N,2019-06-27,RESIDENCE / HOME,78730,30.37905146,-97.85497671
CRIMINAL MISCHIEF,N,2021-02-06,RESIDENCE / HOME,78754,30.37925879,-97.65326272
BURGLARY OF VEHICLE,N,2020-05-20,PARKING /DROP LOT/ GARAGE,78704,30.23628691,-97.7933249
CRIMINAL MISCHIEF,N,2019-06-12,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78703,30.27819186,-97.76812332
FAMILY DISTURBANCE,N,2020-11-07,PARKING /DROP LOT/ GARAGE,78741,30.22764855,-97.72330072
THEFT,N,2021-06-23,GOVERNMENT / PUBLIC BUILDING,78723,30.29903596,-97.70953182
FAMILY DISTURBANCE,N,2019-08-11,RESIDENCE / HOME,78741,30.22536383,-97.7391791
THEFT,N,2020-11-03,OTHER / UNKNOWN,78748,30.1804823,-97.83801809
FAMILY DISTURBANCE,N,2020-12-08,GROCERY / SUPERMARKET,78741,30.23581695,-97.72262067
BURGLARY OF VEHICLE,N,2019-03-13,PARKING /DROP LOT/ GARAGE,78735,30.2386254,-97.87168748
CRIMINAL MISCHIEF,N,2021-08-23,BANK / SAVINGS & LOAN,78759,30.43230929,-97.76700798
BURGLARY OF VEHICLE,N,2019-07-07,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,78702,30.25172754,-97.6986997
THEFT,N,2021-06-28,RESIDENCE / HOME,78753,30.39208657,-97.68105071
BURGLARY OF VEHICLE,N,2019-01-14,PARKING /DROP LOT/ GARAGE,78723,30.30178349,-97.69866762
BURGLARY OF VEHICLE,N,2019-06-20,PARKING /DROP LOT/ GARAGE,78759,30.39459975,-97.7447116
THEFT,N,2019-02-24,PARK / PLAYGROUND,78723,30.30484028,-97.69765226
FAMILY DISTURBANCE,N,2019-10-20,RESIDENCE / HOME,78660,30.4485241,-97.66192643
FAMILY DISTURBANCE,N,2021-12-11,RESIDENCE / HOME,78704,30.23034013,-97.78332708
THEFT,N,2021-03-07,BAR / NIGHTCLUB,78753,30.37381396,-97.69055867
CRIMINAL MISCHIEF,N,2020-08-16,OTHER / UNKNOWN,78704,30.2424372,-97.77525004
CRIMINAL MISCHIEF,N,2021-03-29,RESIDENCE / HOME,78744,30.17938079,-97.77579237
BURGLARY OF VEHICLE,N,2021-01-02,PARKING /DROP LOT/ GARAGE,78729,30.44469193,-97.78470828
THEFT,N,2019-02-12,RESIDENCE / HOME,78723,30.29930666,-97.67369234
FAMILY DISTURBANCE,N,2020-03-11,RESIDENCE / HOME,78748,30.17309324,-97.81433261
FAMILY DISTURBANCE,N,2021-10-11,RESIDENCE / HOME,78617,30.16660933,-97.62644688
FAMILY DISTURBANCE,N,2020-06-08,PARKING /DROP LOT/ GARAGE,78741,30.2313573,-97.73404858
FAMILY DISTURBANCE,N,2019-09-01,RESIDENCE / HOME,78741,30.22863461,-97.70615193
FAMILY DISTURBANCE,N,2021-09-04,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78701,30.26706762,-97.73933857
BURGLARY OF VEHICLE,N,2020-05-10,RESIDENCE / HOME,78744,30.17204384,-97.76224257
CRIMINAL MISCHIEF,N,2019-08-26,RESIDENCE / HOME,78753,30.36920579,-97.6911639
CRIMINAL MISCHIEF,N,2021-12-30,RESIDENCE / HOME,78753,30.35833918,-97.69865776
BURGLARY OF VEHICLE,N,2021-11-21,PARKING /DROP LOT/ GARAGE,78729,30.45158022,-97.77413585
FAMILY DISTURBANCE,N,2020-09-15,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78748,30.13757475,-97.80032308
FAMILY DISTURBANCE,N,2020-10-03,RESIDENCE / HOME,78724,30.29859516,-97.64184814
FAMILY DISTURBANCE,N,2021-11-17,RESIDENCE / HOME,78741,30.23876231,-97.693621
BURGLARY OF VEHICLE,N,2021-08-03,PARKING /DROP LOT/ GARAGE,78745,30.18517102,-97.79213281
BURGLARY OF VEHICLE,N,2021-10-23,PARKING /DROP LOT/ GARAGE,78759,30.37841553,-97.73662566
CRIMINAL MISCHIEF,N,2019-01-18,OTHER / UNKNOWN,78753,30.38027557,-97.68686991
FAMILY DISTURBANCE,N,2020-02-08,HOTEL / MOTEL / ETC.,78753,30.37856547,-97.67585857
FAMILY DISTURBANCE,N,2021-06-29,RESIDENCE / HOME,78753,30.35162962,-97.67831952
FAMILY DISTURBANCE,N,2019-01-21,RESIDENCE / HOME,78741,30.23310353,-97.71944111
BURGLARY OF VEHICLE,N,2020-03-09,HOTEL / MOTEL / ETC.,78752,30.32638063,-97.70486
FAMILY DISTURBANCE,N,2019-06-15,RESIDENCE / HOME,78723,30.30897125,-97.66138029
THEFT,N,2019-06-13,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,78701,30.26743058,-97.74354926
BURGLARY OF VEHICLE,N,2020-05-07,PARKING /DROP LOT/ GARAGE,78705,30.29698591,-97.74464837
BURGLARY OF VEHICLE,N,2020-12-18,PARKING /DROP LOT/ GARAGE,78702,30.26254646,-97.72553832
FAMILY DISTURBANCE,N,2019-01-11,RESIDENCE / HOME,78758,30.39986155,-97.72287431
FAMILY DISTURBANCE,N,2019-09-09,RESIDENCE / HOME,78752,30.32925327,-97.69127198
THEFT,N,2020-02-02,BAR / NIGHTCLUB,78758,30.40120965,-97.72289492
THEFT,N,2019-04-29,RESTAURANT,78745,30.20952919,-97.78377194
FAMILY DISTURBANCE,N,2019-02-21,RESIDENCE / HOME,78758,30.37982631,-97.69577082
FAMILY DISTURBANCE,N,2019-03-24,RESIDENCE / HOME,78741,30.23059966,-97.71831164
FAMILY DISTURBANCE,N,2020-02-18,RESIDENCE / HOME,78745,30.20456657,-97.80368661
FAMILY DISTURBANCE,N,2020-11-16,RESIDENCE / HOME,78745,30.22423412,-97.80425464
THEFT,N,2019-02-27,COMMERCIAL / OFFICE BUILDING,78717,30.48309865,-97.79754394
CRIMINAL MISCHIEF,N,2019-05-17,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.25918458,-97.71618458
BURGLARY OF VEHICLE,N,2021-06-30,PARKING /DROP LOT/ GARAGE,78701,30.27056346,-97.74901027
BURGLARY OF VEHICLE,N,2019-04-17,OTHER / UNKNOWN,78759,30.38938862,-97.7662405
FAMILY DISTURBANCE,N,2019-07-26,RESIDENCE / HOME,78722,30.28686939,-97.70797056
FAMILY DISTURBANCE,N,2019-07-07,RESIDENCE / HOME,78752,30.33917986,-97.70575108
FAMILY DISTURBANCE,N,2020-11-26,RESIDENCE / HOME,78758,30.36948655,-97.69959977
FAMILY DISTURBANCE,N,2020-08-11,RESIDENCE / HOME,78757,30.34231492,-97.75163525
FAMILY DISTURBANCE,N,2020-07-16,RESIDENCE / HOME,78745,30.22710281,-97.78898673
THEFT,N,2021-01-07,RESIDENCE / HOME,78723,30.2872932,-97.70020722
THEFT,N,2021-07-30,PARKING /DROP LOT/ GARAGE,78744,30.1683339,-97.78259876
THEFT,N,2019-08-26,PARK / PLAYGROUND,78746,30.26776379,-97.76790612
BURGLARY OF VEHICLE,N,2019-04-16,RESIDENCE / HOME,78748,30.16999509,-97.83827621
FAMILY DISTURBANCE,N,2021-06-01,RESIDENCE / HOME,78745,30.19281051,-97.77620622
BURGLARY OF VEHICLE,N,2019-04-18,RESIDENCE / HOME,78758,30.40977797,-97.69537019
BURGLARY OF VEHICLE,N,2019-03-22,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78757,30.35342775,-97.72777167
BURGLARY OF VEHICLE,N,2019-12-16,PARKING /DROP LOT/ GARAGE,78759,30.38938862,-97.7662405
THEFT,N,2019-06-01,OTHER / UNKNOWN,78704,30.23370295,-97.79380778
CRIMINAL MISCHIEF,N,2019-11-11,PARKING /DROP LOT/ GARAGE,78753,30.38979111,-97.65120601
FAMILY DISTURBANCE,N,2020-05-15,PARKING /DROP LOT/ GARAGE,78745,30.21829902,-97.80216791
BURGLARY OF VEHICLE,N,2019-08-13,OTHER / UNKNOWN,78702,30.27355458,-97.70312644
CRIMINAL MISCHIEF,N,2021-06-22,DEPARTMENT / DISCOUNT STORE,78759,30.39459975,-97.7447116
FAMILY DISTURBANCE,N,2020-06-12,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78704,30.25189802,-97.75520588
FAMILY DISTURBANCE,N,2020-01-09,RESIDENCE / HOME,78753,30.40671303,-97.64995778
FAMILY DISTURBANCE,N,2020-07-17,RESIDENCE / HOME,78717,30.47244517,-97.79232171
FAMILY DISTURBANCE,N,2021-11-25,RESIDENCE / HOME,78702,30.2591328,-97.72686614
FAMILY DISTURBANCE,N,2020-04-03,RESIDENCE / HOME,78723,30.31852904,-97.70341904
FAMILY DISTURBANCE,N,2021-08-09,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,78702,30.25591343,-97.73640991
CRIMINAL MISCHIEF,N,2019-04-14,PARKING /DROP LOT/ GARAGE,78749,30.23462216,-97.85292796
CRIMINAL MISCHIEF,N,2021-09-24,PARKING /DROP LOT/ GARAGE,78701,30.26713756,-97.73939689
THEFT,N,2019-05-09,GROCERY / SUPERMARKET,78704,30.21860888,-97.75592656
FAMILY DISTURBANCE,N,2021-05-02,RESIDENCE / HOME,78753,30.34949994,-97.69667299
CRIMINAL MISCHIEF,N,2019-04-06,RESIDENCE / HOME,78736,30.24236723,-97.88885547
CRIMINAL MISCHIEF,N,2020-10-05,RESIDENCE / HOME,78660,30.40916273,-97.63666359
THEFT,N,2020-03-15,DEPARTMENT / DISCOUNT STORE,78704,30.2200027,-97.75439457
FAMILY DISTURBANCE,N,2020-12-26,RESIDENCE / HOME,78754,30.3821216,-97.65087687
